T P Z_v Z_l W


T=223.15000
 46.00000	0.00000 100.00000 -9999.00000 2.95176	
 47.00000	0.00000 100.00000 -9999.00000 3.01327	
 48.00000	0.00000 100.00000 -9999.00000 3.07472	
 49.00000	0.00000 100.00000 -9999.00000 3.13610	
 50.00000	0.00000 100.00000 -9999.00000 3.19742	
 51.00000	0.00000 100.00000 -9999.00000 3.25868	
 52.00000	0.00000 100.00000 -9999.00000 3.31989	
 53.00000	0.00000 100.00000 -9999.00000 3.38103	
 54.00000	0.00000 100.00000 -9999.00000 3.44212	
 55.00000	0.00000 100.00000 -9999.00000 3.50316	
 56.00000	0.00000 100.00000 -9999.00000 3.56414	
 57.00000	0.00000 100.00000 -9999.00000 3.62507	
 58.00000	0.00000 100.00000 -9999.00000 3.68595	
 59.00000	0.00000 100.00000 -9999.00000 3.74678	
 60.00000	0.00000 100.00000 -9999.00000 3.80756	


T=423.15000
 1.00000	68.64631 31.35369 0.98843 0.14749	
 2.00000	66.21282 33.78718 0.98082 0.27824	
 3.00000	64.37369 35.62631 0.97447 0.39992	
 4.00000	62.76276 37.23724 0.96902 0.51427	
 5.00000	61.27164 38.72836 0.96433 0.62233	
 6.00000	59.85358 40.14642 0.96032 0.72484	
 7.00000	58.48386 41.51614 0.95693 0.82236	
 8.00000	57.14765 42.85235 0.95413 0.91532	
 9.00000	55.83525 44.16475 0.95191 1.00412	
 10.00000	54.53986 45.46014 0.95023 1.08907	
 11.00000	53.25649 46.74351 0.94909 1.17045	
 12.00000	51.98129 48.01871 0.94846 1.24848	
 13.00000	50.71124 49.28876 0.94835 1.32339	
 14.00000	49.44382 50.55618 0.94874 1.39536	
 15.00000	48.17695 51.82305 0.94962 1.46455	
 16.00000	46.90879 53.09121 0.95098 1.53113	
 17.00000	45.63776 54.36224 0.95280 1.59522	
 18.00000	44.36241 55.63759 0.95508 1.65695	
 19.00000	43.08142 56.91858 0.95780 1.71643	
 20.00000	41.79357 58.20643 0.96096 1.77377	
 21.00000	40.49771 59.50229 0.96454 1.82905	
 22.00000	39.19273 60.80727 0.96852 1.88237	
 23.00000	37.87759 62.12241 0.97290 1.93380	
 24.00000	36.55127 63.44873 0.97767 1.98342	
 25.00000	35.21275 64.78725 0.98280 2.03131	
 26.00000	33.86107 66.13893 0.98830 2.07751	
 27.00000	32.49525 67.50475 0.99414 2.12209	
 28.00000	31.11432 68.88568 1.00031 2.16511	
 29.00000	29.71733 70.28267 1.00681 2.20662	
 30.00000	28.30330 71.69670 1.01362 2.24667	
 31.00000	26.87125 73.12875 1.02072 2.28530	
 32.00000	25.42020 74.57980 1.02811 2.32256	
 33.00000	23.94917 76.05083 1.03579 2.35849	
 34.00000	22.45712 77.54288 1.04373 2.39312	
 35.00000	20.94302 79.05698 1.05193 2.42650	
 36.00000	19.40580 80.59420 1.06037 2.45866	
 37.00000	17.84439 82.15561 1.06906 2.48963	
 38.00000	16.25764 83.74236 1.07799 2.51944	
 39.00000	14.64441 85.35559 1.08714 2.54812	
 40.00000	13.00350 86.99650 1.09651 2.57570	
 41.00000	11.33366 88.66634 1.10609 2.60221	
 42.00000	9.63360 90.36640 1.11588 2.62768	
 43.00000	7.90197 92.09803 1.12587 2.65212	
 44.00000	6.13735 93.86265 1.13605 2.67557	
 45.00000	4.33828 95.66172 1.14643 2.69804	
 46.00000	2.50321 97.49679 1.15700 2.71956	
 47.00000	0.63049 99.36951 1.16775 2.74014	
 48.00000	100.00000 0.00000 2.78334 -9999.00000	
 49.00000	100.00000 0.00000 2.83803 -9999.00000	
 50.00000	100.00000 0.00000 2.89266 -9999.00000	
 51.00000	0.00000 100.00000 -9999.00000 2.94722	
 52.00000	0.00000 100.00000 -9999.00000 3.00171	
 53.00000	0.00000 100.00000 -9999.00000 3.05615	
 54.00000	0.00000 100.00000 -9999.00000 3.11052	
 55.00000	0.00000 100.00000 -9999.00000 3.16483	
 56.00000	0.00000 100.00000 -9999.00000 3.21909	
 57.00000	0.00000 100.00000 -9999.00000 3.27329	
 58.00000	0.00000 100.00000 -9999.00000 3.32743	
 59.00000	0.00000 100.00000 -9999.00000 3.38152	
 60.00000	0.00000 100.00000 -9999.00000 3.43556	
